ligand	receptor	cell_from_mean_exprs	cell_from	cell_to_mean_exprs	cell_to	comm_type
PTN	SDC2	1.37686059244296	Myofibroblast_Mesothelium	0.696403866263886	Pericytes	other
PTN	SDC2	1.21362401320889	Fibroblasts	0.696403866263886	Pericytes	other
PTN	SDC2	1.37686059244296	Myofibroblast_Mesothelium	0.582924382337642	Myofibroblast_Mesothelium	other
PTN	SDC2	1.21362401320889	Fibroblasts	0.582924382337642	Myofibroblast_Mesothelium	other
PTN	SDC2	0.972666908857605	Pericytes	0.696403866263886	Pericytes	other
PTN	SDC2	0.950228060303547	Muscle	0.696403866263886	Pericytes	other
PTN	SDC2	0.972666908857605	Pericytes	0.582924382337642	Myofibroblast_Mesothelium	other
PTN	SDC2	0.950228060303547	Muscle	0.582924382337642	Myofibroblast_Mesothelium	other
PTN	SDC2	0.733904083568652	Neural	0.696403866263886	Pericytes	other
EDN1	EDNRB	0.956593998615523	Epithelial	0.472783310398543	Neural	other
BMP4	BMPR2	0.704496207675955	Myofibroblast_Mesothelium	0.613858353568455	Endothelial	other
PTN	SDC2	0.733904083568652	Neural	0.582924382337642	Myofibroblast_Mesothelium	other
PTN	SDC3	1.37686059244296	Myofibroblast_Mesothelium	0.303304016675888	Neural	other
SMS	SSR2	0.405791006626766	Endothelial	1.0079981121793	Myofibroblast_Mesothelium	other
PTN	SDC2	1.37686059244296	Myofibroblast_Mesothelium	0.284645447701902	Fibroblasts	other
SMS	SSR2	0.405791006626766	Endothelial	0.957782852889774	Pericytes	other
BMP2	BMPR2	0.630680976730458	Epithelial	0.613858353568455	Endothelial	other
EDN1	EDNRA	0.956593998615523	Epithelial	0.397383321959773	Pericytes	other
PTN	SDC3	1.21362401320889	Fibroblasts	0.303304016675888	Neural	other
SMS	SSR2	0.405791006626766	Endothelial	0.869125058522604	Fibroblasts	other
PTN	SDC2	1.21362401320889	Fibroblasts	0.284645447701902	Fibroblasts	other
SMS	SSR2	0.405791006626766	Endothelial	0.843259315272621	Neural	other
PTN	SDC3	1.37686059244296	Myofibroblast_Mesothelium	0.216136823847781	Muscle	other
SMS	SSR2	0.405791006626766	Endothelial	0.729539104652663	Muscle	other
PTN	SDC3	0.972666908857605	Pericytes	0.303304016675888	Neural	other
NAMPT	INSR	1.06422374423031	Immune	0.276867060168507	Endothelial	other
IL1B	IL1R1	1.3374767353794	Immune	0.219035465406024	Endothelial	other
SMS	SSR4	0.405791006626766	Endothelial	0.716011848179603	Epithelial	other
PTN	SDC3	0.950228060303547	Muscle	0.303304016675888	Neural	other
SMS	SSR2	0.405791006626766	Endothelial	0.70948604544528	Endothelial	other
AREG	ERBB2	0.705783113604258	Epithelial	0.395262273052471	Epithelial	other
SMS	SSR4	0.405791006626766	Endothelial	0.685087257519463	Neural	other
PTN	SDC2	0.972666908857605	Pericytes	0.284645447701902	Fibroblasts	other
PTN	SDC2	0.950228060303547	Muscle	0.284645447701902	Fibroblasts	other
SMS	SSR2	0.268298348303119	Neural	1.0079981121793	Myofibroblast_Mesothelium	other
SMS	SSR2	0.265073067170453	Muscle	1.0079981121793	Myofibroblast_Mesothelium	other
PTN	SDC2	1.37686059244296	Myofibroblast_Mesothelium	0.193665256997067	Neural	other
SMS	SSR4	0.405791006626766	Endothelial	0.65579457167959	Pericytes	other
PTN	SDC3	1.21362401320889	Fibroblasts	0.216136823847781	Muscle	other
SMS	SSR4	0.405791006626766	Endothelial	0.635237326501439	Myofibroblast_Mesothelium	other
SMS	SSR4	0.405791006626766	Endothelial	0.634257959647238	Immune	other
SMS	SSR2	0.268298348303119	Neural	0.957782852889774	Pericytes	other
SMS	SSR2	0.405791006626766	Endothelial	0.632478409215018	Epithelial	other
SMS	SSR2	0.265073067170453	Muscle	0.957782852889774	Pericytes	other
BMP5	BMPR2	0.410462829888125	Myofibroblast_Mesothelium	0.613858353568455	Endothelial	other
PTN	SDC4	1.37686059244296	Myofibroblast_Mesothelium	0.180912163544083	Epithelial	other
NAMPT	INSR	1.06422374423031	Immune	0.230678317444239	Muscle	other
HBEGF	ERBB2	0.616680824884419	Endothelial	0.395262273052471	Epithelial	other
NAMPT	INSR	0.880076677148492	Endothelial	0.276867060168507	Endothelial	other
CXCL2	ACKR1	1.06182276454224	Epithelial	0.229293946731821	Endothelial	other
EDN1	EDNRB	0.956593998615523	Epithelial	0.251878087470282	Epithelial	other
SMS	SSR2	0.233797228328773	Pericytes	1.0079981121793	Myofibroblast_Mesothelium	other
PTN	SDC2	1.21362401320889	Fibroblasts	0.193665256997067	Neural	other
SMS	SSR2	0.268298348303119	Neural	0.869125058522604	Fibroblasts	other
FGF7	FGFR1	0.591242024832629	Muscle	0.393608056733745	Endothelial	other
SMS	SSR4	0.405791006626766	Endothelial	0.568184435535739	Fibroblasts	other
SMS	SSR2	0.265073067170453	Muscle	0.869125058522604	Fibroblasts	other
SMS	SSR2	0.268298348303119	Neural	0.843259315272621	Neural	other
SMS	SSR2	0.233797228328773	Pericytes	0.957782852889774	Pericytes	other
SMS	SSR2	0.265073067170453	Muscle	0.843259315272621	Neural	other
NAMPT	INSR	1.06422374423031	Immune	0.209878808868896	Epithelial	other
PTN	SDC3	0.733904083568652	Neural	0.303304016675888	Neural	other
PTN	SDC4	1.21362401320889	Fibroblasts	0.180912163544083	Epithelial	other
SMS	SSR4	0.405791006626766	Endothelial	0.528247076809181	Endothelial	other
AREG	ERBB2	0.705783113604258	Epithelial	0.301895459655109	Muscle	other
SMS	SSR2	0.405791006626766	Endothelial	0.520779592681158	Immune	other
PTN	SDC3	0.972666908857605	Pericytes	0.216136823847781	Muscle	other
PTN	SDC2	0.733904083568652	Neural	0.284645447701902	Fibroblasts	other
CXCL2	ACKR1	0.911033789964868	Immune	0.229293946731821	Endothelial	other
CCL2	ACKR1	0.910337414438655	Endothelial	0.229293946731821	Endothelial	other
PTN	SDC3	1.37686059244296	Myofibroblast_Mesothelium	0.150285147155975	Endothelial	other
PTN	SDC3	0.950228060303547	Muscle	0.216136823847781	Muscle	other
CCL2	ACKR1	0.88895184351876	Pericytes	0.229293946731821	Endothelial	other
SMS	SSR4	0.405791006626766	Endothelial	0.50194057853864	Muscle	other
SMS	SSR2	0.233797228328773	Pericytes	0.869125058522604	Fibroblasts	other
NAMPT	INSR	0.880076677148492	Endothelial	0.230678317444239	Muscle	other
SMS	SSR2	0.198808899087586	Myofibroblast_Mesothelium	1.0079981121793	Myofibroblast_Mesothelium	other
AREG	ERBB2	0.705783113604258	Epithelial	0.279687410526471	Myofibroblast_Mesothelium	other
SMS	SSR2	0.233797228328773	Pericytes	0.843259315272621	Neural	other
SMS	SSR2	0.268298348303119	Neural	0.729539104652663	Muscle	other
SMS	SSR2	0.265073067170453	Muscle	0.729539104652663	Muscle	other
SMS	SSR4	0.268298348303119	Neural	0.716011848179603	Epithelial	other
SMS	SSR2	0.198808899087586	Myofibroblast_Mesothelium	0.957782852889774	Pericytes	other
SMS	SSR2	0.268298348303119	Neural	0.70948604544528	Endothelial	other
EDN1	EDNRB	0.956593998615523	Epithelial	0.198920668509296	Myofibroblast_Mesothelium	other
SMS	SSR4	0.265073067170453	Muscle	0.716011848179603	Epithelial	other
PTN	SDC2	0.972666908857605	Pericytes	0.193665256997067	Neural	other
SMS	SSR2	0.265073067170453	Muscle	0.70948604544528	Endothelial	other
EDN1	EDNRB	0.396603706564768	Endothelial	0.472783310398543	Neural	other
FGF7	FGFR1	0.591242024832629	Muscle	0.316866661224843	Fibroblasts	other
SMS	SSR2	0.185088145176421	Epithelial	1.0079981121793	Myofibroblast_Mesothelium	other
HBEGF	ERBB2	0.616680824884419	Endothelial	0.301895459655109	Muscle	other
IL1B	IL1R1	1.3374767353794	Immune	0.13865688042866	Myofibroblast_Mesothelium	other
NAMPT	INSR	0.880076677148492	Endothelial	0.209878808868896	Epithelial	other
PTN	SDC2	0.950228060303547	Muscle	0.193665256997067	Neural	other
SMS	SSR4	0.268298348303119	Neural	0.685087257519463	Neural	other
PTN	SDC3	1.21362401320889	Fibroblasts	0.150285147155975	Endothelial	other
SMS	SSR2	0.180183798561836	Fibroblasts	1.0079981121793	Myofibroblast_Mesothelium	other
SMS	SSR4	0.265073067170453	Muscle	0.685087257519463	Neural	other
PTN	SDC2	0.259927351456744	Endothelial	0.696403866263886	Pericytes	other
BMP4	BMPR2	0.704496207675955	Myofibroblast_Mesothelium	0.256188902571486	Myofibroblast_Mesothelium	other
BMP2	BMPR2	0.29298553458741	Endothelial	0.613858353568455	Endothelial	other
CCL2	ACKR1	0.781507068649525	Fibroblasts	0.229293946731821	Endothelial	other
SMS	SSR2	0.185088145176421	Epithelial	0.957782852889774	Pericytes	other
PTN	SDC4	0.972666908857605	Pericytes	0.180912163544083	Epithelial	other
SMS	SSR4	0.268298348303119	Neural	0.65579457167959	Pericytes	other
PTN	SDC2	1.37686059244296	Myofibroblast_Mesothelium	0.127763264735099	Epithelial	other
SMS	SSR4	0.265073067170453	Muscle	0.65579457167959	Pericytes	other
AREG	ERBB2	0.705783113604258	Epithelial	0.245301026220917	Fibroblasts	other
SMS	SSR2	0.198808899087586	Myofibroblast_Mesothelium	0.869125058522604	Fibroblasts	other
SMS	SSR2	0.180183798561836	Fibroblasts	0.957782852889774	Pericytes	other
HBEGF	ERBB2	0.616680824884419	Endothelial	0.279687410526471	Myofibroblast_Mesothelium	other
FGF7	FGFR1	0.591242024832629	Muscle	0.291413948610675	Muscle	other
PTN	SDC2	1.37686059244296	Myofibroblast_Mesothelium	0.124936219004911	Muscle	other
